timestamp,a_left_backPose,b_left_backPose,c_left_backPose,File Name
1.6455447312338348e+18,1744.0,-102.0,-6934.0,frame_2160.jpeg
1.645544731288002e+18,2239.0,609.0,-7887.0,frame_2161.jpeg
1.645544731336582e+18,3023.0,516.0,-7866.0,frame_2162.jpeg
1.6455447313927718e+18,2655.0,-16.0,-7590.0,frame_2163.jpeg
1.6455447314336937e+18,1540.0,-334.0,-7414.0,frame_2164.jpeg
1.6455447314845655e+18,550.0,-336.0,-6210.0,frame_2165.jpeg
1.645544731542953e+18,555.0,-163.0,-5909.0,frame_2166.jpeg
1.645544731542953e+18,555.0,-163.0,-5909.0,frame_2167.jpeg
1.645544731542953e+18,555.0,-163.0,-5909.0,frame_2168.jpeg
1.6455447317589443e+18,1037.0,175.0,-5683.0,frame_2169.jpeg
1.6455446339667712e+18,284.0,6501.0,-4728.0,frame_217.jpeg
1.6455447317589443e+18,1037.0,175.0,-5683.0,frame_2170.jpeg
1.6455447317917514e+18,3207.0,359.0,-7877.0,frame_2171.jpeg
1.6455447318398098e+18,2257.0,160.0,-7109.0,frame_2172.jpeg
1.64554473189475e+18,4038.0,361.0,-6626.0,frame_2173.jpeg
1.645544731937347e+18,3814.0,410.0,-6974.0,frame_2174.jpeg
1.6455447319926973e+18,5026.0,311.0,-6753.0,frame_2175.jpeg
1.6455447320371825e+18,3401.0,99.0,-7279.0,frame_2176.jpeg
1.6455447320974559e+18,3884.0,-17.0,-6086.0,frame_2177.jpeg
1.6455447321477965e+18,1296.0,362.0,-5837.0,frame_2178.jpeg
1.6455447322084209e+18,1226.0,334.0,-5902.0,frame_2179.jpeg
1.6455446340219425e+18,344.0,6447.0,-4875.0,frame_218.jpeg
1.6455447322398943e+18,4908.0,913.0,-4014.0,frame_2180.jpeg
1.6455447322894705e+18,6794.0,-546.0,-2663.0,frame_2181.jpeg
1.6455447323352133e+18,6638.0,119.0,-2565.0,frame_2182.jpeg
1.6455447323970888e+18,7313.0,540.0,-2506.0,frame_2183.jpeg
1.6455447324368497e+18,7738.0,947.0,-2850.0,frame_2184.jpeg
1.6455447325151078e+18,7020.0,975.0,-3364.0,frame_2185.jpeg
1.6455447325293437e+18,6917.0,1050.0,-3535.0,frame_2186.jpeg
1.6455447325924393e+18,6254.0,1416.0,-4228.0,frame_2187.jpeg
1.6455447326386506e+18,7946.0,987.0,-4586.0,frame_2188.jpeg
1.6455447326920271e+18,5933.0,2756.0,-2764.0,frame_2189.jpeg
1.6455446340641733e+18,334.0,6469.0,-4904.0,frame_219.jpeg
1.6455447327400276e+18,6035.0,2246.0,-4999.0,frame_2190.jpeg
1.6455447327904963e+18,9561.0,784.0,-3142.0,frame_2191.jpeg
1.645544732836827e+18,5124.0,-696.0,-5371.0,frame_2192.jpeg
1.645544732893899e+18,7383.0,1019.0,-3733.0,frame_2193.jpeg
1.64554473294172e+18,6216.0,643.0,-4842.0,frame_2194.jpeg
1.645544732996146e+18,6735.0,919.0,-4765.0,frame_2195.jpeg
1.6455447330433948e+18,7467.0,1399.0,-4284.0,frame_2196.jpeg
1.645544733086565e+18,5315.0,1725.0,-3913.0,frame_2197.jpeg
1.645544733144625e+18,7109.0,40.0,-5144.0,frame_2198.jpeg
